movementId,pokemonType,power,energyDelta,durationMs,damageWindowStartMs,damageWindowEndMs
WRAP,Normal,60,-33,2900,2050,2700
HYPER_BEAM,Normal,150,-100,3800,3300,3600
DARK_PULSE,Dark,80,-50,3000,1400,2300
SLUDGE,Poison,50,-33,2100,1200,1550
VICE_GRIP,Normal,35,-33,1900,1100,1500
FLAME_WHEEL,Fire,60,-50,2700,2100,2400
MEGAHORN,Bug,90,-100,2200,1700,1900
FLAMETHROWER,Fire,70,-50,2200,1500,1700
DIG,Ground,100,-50,4700,2800,4500
CROSS_CHOP,Fighting,50,-50,1500,800,1200
PSYBEAM,Psychic,70,-50,3200,1300,2700
EARTHQUAKE,Ground,120,-100,3600,2700,3500
STONE_EDGE,Rock,100,-100,2300,700,2100
ICE_PUNCH,Ice,50,-33,1900,1300,1600
HEART_STAMP,Psychic,40,-33,1900,1100,1600
DISCHARGE,Electric,65,-33,2500,1700,2100
FLASH_CANNON,Steel,100,-100,2700,1600,2500
DRILL_PECK,Flying,60,-33,2300,1700,2100
ICE_BEAM,Ice,90,-50,3300,1300,2800
BLIZZARD,Ice,130,-100,3100,1500,2900
HEAT_WAVE,Fire,95,-100,3000,1700,2800
AERIAL_ACE,Flying,55,-33,2400,1900,2200
DRILL_RUN,Ground,80,-50,2800,1700,2600
PETAL_BLIZZARD,Grass,110,-100,2600,1700,2300
MEGA_DRAIN,Grass,25,-50,2600,950,2000
BUG_BUZZ,Bug,90,-50,3700,2000,3100
POISON_FANG,Poison,35,-33,1700,900,1400
NIGHT_SLASH,Dark,50,-33,2200,1300,2000
BUBBLE_BEAM,Water,45,-33,1900,1450,1700
SUBMISSION,Fighting,60,-50,2200,1800,2000
LOW_SWEEP,Fighting,40,-33,1900,1300,1650
AQUA_JET,Water,45,-33,2600,1700,2100
AQUA_TAIL,Water,50,-33,1900,1200,1650
SEED_BOMB,Grass,55,-33,2100,1200,1900
PSYSHOCK,Psychic,65,-33,2700,2000,2600
ANCIENT_POWER,Rock,70,-33,3500,2850,3100
ROCK_TOMB,Rock,70,-50,3200,2250,3000
ROCK_SLIDE,Rock,80,-50,2700,1500,2600
POWER_GEM,Rock,80,-50,2900,1950,2700
SHADOW_SNEAK,Ghost,50,-33,2900,2200,2700
SHADOW_PUNCH,Ghost,40,-33,1700,1300,1500
OMINOUS_WIND,Ghost,50,-33,2300,1850,2100
SHADOW_BALL,Ghost,100,-50,3000,2400,2800
MAGNET_BOMB,Steel,70,-33,2800,2200,2600
IRON_HEAD,Steel,60,-50,1900,1300,1700
PARABOLIC_CHARGE,Electric,25,-50,2800,1200,2400
THUNDER_PUNCH,Electric,45,-33,1800,1700,1550
THUNDER,Electric,100,-100,2400,1200,2200
THUNDERBOLT,Electric,80,-50,2500,1800,2300
TWISTER,Dragon,45,-33,2800,950,2600
DRAGON_PULSE,Dragon,90,-50,3600,2150,3300
DRAGON_CLAW,Dragon,50,-33,1700,1100,1300
DISARMING_VOICE,Fairy,70,-33,3900,3200,3500
DRAINING_KISS,Fairy,60,-50,2600,1000,1300
DAZZLING_GLEAM,Fairy,100,-50,3500,2100,3300
MOONBLAST,Fairy,130,-100,3900,2200,3700
PLAY_ROUGH,Fairy,90,-50,2900,1300,2700
CROSS_POISON,Poison,40,-33,1500,900,1300
SLUDGE_BOMB,Poison,80,-50,2300,1100,2100
SLUDGE_WAVE,Poison,110,-100,3200,2000,3000
GUNK_SHOT,Poison,130,-100,3100,1700,2700
BONE_CLUB,Ground,40,-33,1600,1000,1400
BULLDOZE,Ground,80,-50,3500,2600,3100
MUD_BOMB,Ground,55,-33,2300,1700,2100
SIGNAL_BEAM,Bug,75,-50,2900,1800,2600
X_SCISSOR,Bug,45,-33,1600,1200,1400
FLAME_CHARGE,Fire,70,-33,3800,2900,3450
FLAME_BURST,Fire,70,-50,2600,1000,2100
FIRE_BLAST,Fire,140,-100,4200,3100,3900
BRINE,Water,60,-50,2300,1500,2100
WATER_PULSE,Water,70,-50,3200,2200,2900
SCALD,Water,80,-50,3700,1300,3400
HYDRO_PUMP,Water,130,-100,3300,900,3000
PSYCHIC,Psychic,100,-100,2800,1300,2600
PSYSTRIKE,Psychic,100,-50,4400,3000,4200
ICY_WIND,Ice,60,-33,3300,2000,2800
GIGA_DRAIN,Grass,50,-100,3900,1200,2200
FIRE_PUNCH,Fire,55,-33,2200,1500,1900
SOLAR_BEAM,Grass,180,-100,4900,2700,4700
LEAF_BLADE,Grass,70,-33,2400,1250,2200
POWER_WHIP,Grass,90,-50,2600,1250,2350
AIR_CUTTER,Flying,60,-50,2700,1800,2500
HURRICANE,Flying,110,-100,2700,1200,2400
BRICK_BREAK,Fighting,40,-33,1600,800,1400
SWIFT,Normal,60,-50,2800,2000,2600
HORN_ATTACK,Normal,40,-33,1850,800,1650
STOMP,Normal,55,-50,1700,1100,1500
HYPER_FANG,Normal,80,-50,2500,1500,2000
BODY_SLAM,Normal,50,-33,1900,1200,1700
REST,Normal,50,-33,1900,1500,1700
STRUGGLE,Normal,35,0,2200,1200,2000
SCALD_BLASTOISE,Water,50,-100,4700,2500,4600
HYDRO_PUMP_BLASTOISE,Water,90,-100,4500,2200,4300
WRAP_GREEN,Normal,25,-33,2900,2050,2700
WRAP_PINK,Normal,25,-33,2900,2050,2700
CLOSE_COMBAT,Fighting,100,-100,2300,1000,2300
DYNAMIC_PUNCH,Fighting,90,-50,2700,1200,2700
FOCUS_BLAST,Fighting,140,-100,3500,3000,3500
AURORA_BEAM,Ice,80,-50,3550,3350,3550
WILD_CHARGE,Electric,90,-50,2600,1700,2100
ZAP_CANNON,Electric,140,-100,3700,3000,3500
